Type,Location,Date,Time,Time Zone,Dischage,Other
USGS,4233300,1/1/17,0:00,EST,39.1,A
USGS,4233300,1/1/17,0:15,EST,39.1,A
USGS,4233300,1/1/17,0:30,EST,36.7,A
USGS,4233300,1/1/17,0:45,EST,36.7,A
USGS,4233300,1/1/17,1:00,EST,39.1,A
USGS,4233300,1/1/17,1:15,EST,39.1,A
USGS,4233300,1/1/17,1:30,EST,38.3,A
USGS,4233300,1/1/17,1:45,EST,35.9,A
USGS,4233300,1/1/17,2:00,EST,37.5,A
USGS,4233300,1/1/17,2:15,EST,36.7,A
USGS,4233300,1/1/17,2:30,EST,37.5,A
USGS,4233300,1/1/17,2:45,EST,36.7,A
USGS,4233300,1/1/17,3:00,EST,39.1,A
USGS,4233300,1/1/17,3:15,EST,39.1,A
USGS,4233300,1/1/17,3:30,EST,35.9,A
USGS,4233300,1/1/17,3:45,EST,35.9,A
USGS,4233300,1/1/17,4:00,EST,38.3,A
USGS,4233300,1/1/17,4:15,EST,38.3,A
USGS,4233300,1/1/17,4:30,EST,35.9,A
USGS,4233300,1/1/17,4:45,EST,35.9,A
USGS,4233300,1/1/17,5:00,EST,37.5,A
USGS,4233300,1/1/17,5:15,EST,36.7,A
USGS,4233300,1/1/17,5:30,EST,39.1,A
USGS,4233300,1/1/17,5:45,EST,35.9,A
USGS,4233300,1/1/17,6:00,EST,38.3,A
USGS,4233300,1/1/17,6:15,EST,35.9,A
USGS,4233300,1/1/17,6:30,EST,39.1,A
USGS,4233300,1/1/17,6:45,EST,37.5,A
USGS,4233300,1/1/17,7:00,EST,35.9,A
USGS,4233300,1/1/17,7:15,EST,38.3,A
USGS,4233300,1/1/17,7:30,EST,35.9,A
USGS,4233300,1/1/17,7:45,EST,35.9,A
USGS,4233300,1/1/17,8:00,EST,35.9,A
USGS,4233300,1/1/17,8:15,EST,36.7,A
USGS,4233300,1/1/17,8:30,EST,37.5,A
USGS,4233300,1/1/17,8:45,EST,36.7,A
USGS,4233300,1/1/17,9:00,EST,35.9,A
USGS,4233300,1/1/17,9:15,EST,36.7,A
USGS,4233300,1/1/17,9:30,EST,35.1,A
USGS,4233300,1/1/17,9:45,EST,36.7,A
USGS,4233300,1/1/17,10:00,EST,34.3,A
USGS,4233300,1/1/17,10:15,EST,36.7,A
USGS,4233300,1/1/17,10:30,EST,36.7,A
USGS,4233300,1/1/17,10:45,EST,37.5,A
USGS,4233300,1/1/17,11:00,EST,34.3,A
USGS,4233300,1/1/17,11:15,EST,33.6,A
USGS,4233300,1/1/17,11:30,EST,35.9,A
USGS,4233300,1/1/17,11:45,EST,33.6,A
USGS,4233300,1/1/17,12:00,EST,35.1,A
USGS,4233300,1/1/17,12:15,EST,33.6,A
USGS,4233300,1/1/17,12:30,EST,35.1,A
USGS,4233300,1/1/17,12:45,EST,35.1,A
USGS,4233300,1/1/17,13:00,EST,33.6,A
USGS,4233300,1/1/17,13:15,EST,37.5,A
USGS,4233300,1/1/17,13:30,EST,33.6,A
USGS,4233300,1/1/17,13:45,EST,34.3,A
USGS,4233300,1/1/17,14:00,EST,34.3,A
USGS,4233300,1/1/17,14:15,EST,34.3,A
USGS,4233300,1/1/17,14:30,EST,33.6,A
USGS,4233300,1/1/17,14:45,EST,34.3,A
USGS,4233300,1/1/17,15:00,EST,33.6,A
USGS,4233300,1/1/17,15:15,EST,33.6,A
USGS,4233300,1/1/17,15:30,EST,33.6,A
USGS,4233300,1/1/17,15:45,EST,35.1,A
USGS,4233300,1/1/17,16:00,EST,36.7,A
USGS,4233300,1/1/17,16:15,EST,33.6,A
USGS,4233300,1/1/17,16:30,EST,35.9,A
USGS,4233300,1/1/17,16:45,EST,35.1,A
USGS,4233300,1/1/17,17:00,EST,34.3,A
USGS,4233300,1/1/17,17:15,EST,34.3,A
USGS,4233300,1/1/17,17:30,EST,36.7,A
USGS,4233300,1/1/17,17:45,EST,35.1,A
USGS,4233300,1/1/17,18:00,EST,35.9,A
USGS,4233300,1/1/17,18:15,EST,33.6,A
USGS,4233300,1/1/17,18:30,EST,33.6,A
USGS,4233300,1/1/17,18:45,EST,34.3,A
USGS,4233300,1/1/17,19:00,EST,35.1,A
USGS,4233300,1/1/17,19:15,EST,35.1,A
USGS,4233300,1/1/17,19:30,EST,35.1,A
USGS,4233300,1/1/17,19:45,EST,35.1,A
USGS,4233300,1/1/17,20:00,EST,34.3,A
USGS,4233300,1/1/17,20:15,EST,34.3,A
USGS,4233300,1/1/17,20:30,EST,35.1,A
USGS,4233300,1/1/17,20:45,EST,35.1,A
USGS,4233300,1/1/17,21:00,EST,34.3,A
USGS,4233300,1/1/17,21:15,EST,34.3,A
USGS,4233300,1/1/17,21:30,EST,35.1,A
USGS,4233300,1/1/17,21:45,EST,34.3,A
USGS,4233300,1/1/17,22:00,EST,35.1,A
USGS,4233300,1/1/17,22:15,EST,34.3,A
USGS,4233300,1/1/17,22:30,EST,34.3,A
USGS,4233300,1/1/17,22:45,EST,33.6,A
USGS,4233300,1/1/17,23:00,EST,33.6,A
USGS,4233300,1/1/17,23:15,EST,34.3,A
USGS,4233300,1/1/17,23:30,EST,33.6,A
USGS,4233300,1/1/17,23:45,EST,34.3,A
USGS,4233300,1/2/17,0:00,EST,34.3,A
USGS,4233300,1/2/17,0:15,EST,33.6,A
USGS,4233300,1/2/17,0:30,EST,33.6,A
USGS,4233300,1/2/17,0:45,EST,34.3,A
