======================================================================================================
    Date     Time  Temp SpCond   Cond    Sal   Press   Depth    pH      pH     Orp   Chl   Chl Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm    ppt    psia    feet            mV      mV  ug/L   RFU   volts
------------------------------------------------------------------------------------------------------
10/02/19 14:05:31 19.97  0.459    415   0.22  14.629   0.442  7.89   -69.6   139.5  12.8   3.0    13.3
10/02/19 14:35:31 18.90  0.464    410   0.22  15.783   3.111  8.17   -84.2   135.7   9.8   2.3    13.4
10/02/19 15:05:16 19.03  0.463    410   0.22  15.792   3.132  8.31   -91.1   132.9  12.9   3.1    13.3
10/02/19 15:35:31 19.01  0.462    409   0.22  15.807   3.167  8.27   -89.0   132.0  12.7   3.0    13.3
10/02/19 16:05:31 18.79  0.463    408   0.22  15.811   3.175  8.27   -89.2   128.5   7.9   1.9    13.3
10/02/19 16:35:31 18.92  0.463    409   0.22  15.818   3.192  8.29   -90.3   127.7  10.2   2.4    13.3
10/02/19 17:05:31 19.10  0.463    411   0.22  15.818   3.192  8.31   -91.2   131.2   6.8   1.6    13.3
10/02/19 17:35:31 19.16  0.463    412   0.22  15.823   3.204  8.29   -90.3   130.6   4.5   1.1    13.3
10/02/19 18:05:31 18.75  0.463    408   0.22  15.831   3.222  8.26   -88.6   132.4   5.4   1.3    13.4
10/02/19 18:35:31 18.85  0.464    409   0.22  15.831   3.221  8.27   -89.0   127.1   9.5   2.3    13.4
10/02/19 19:05:31 19.15  0.463    411   0.22  15.839   3.242  8.27   -89.3   130.1  20.0   4.7    13.4
10/02/19 19:35:31 19.19  0.462    411   0.22  15.851   3.268  8.25   -88.4   131.9  14.0   3.3    13.4
10/02/19 20:05:31 19.13  0.462    410   0.22  15.854   3.274  8.24   -87.6   131.9  13.7   3.2    13.4
10/02/19 20:35:31 19.06  0.463    410   0.22  15.863   3.296  8.23   -87.1   131.3  13.0   3.1    13.3
10/02/19 21:05:31 18.95  0.463    410   0.22  15.871   3.316  8.25   -88.1   126.9  11.1   2.6    13.3
10/02/19 21:35:31 18.90  0.463    409   0.22  15.882   3.339  8.23   -86.9   132.1  13.2   3.1    13.4
10/02/19 22:05:31 18.82  0.463    408   0.22  15.885   3.346  8.25   -88.1   130.3  11.5   2.7    13.3
10/02/19 22:35:31 18.76  0.463    408   0.22  15.886   3.350  8.25   -88.3   126.5  12.4   2.9    13.4
