==============================================================================================================
    Date     Time  Temp SpCond   Cond  Resist    Sal DOsat     DO DOchrg   Depth    pH      pH     Orp Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm  Ohm*cm    ppt     %   mg/L         meters            mV      mV   volts
--------------------------------------------------------------------------------------------------------------
10/24/19 13:05:20 10.64  0.312    226 4423.40   0.15 109.8  12.20   29.3   0.738  8.21   -71.0   180.1     6.3
10/24/19 13:20:20 10.65  0.312    226 4419.82   0.15 109.4  12.15   29.3   0.738  8.05   -62.4   210.0     6.3
10/24/19 13:35:20 10.63  0.312    226 4416.32   0.15 108.2  12.03   28.7   0.731  8.02   -60.4   220.3     6.3
10/24/19 13:50:20 10.65  0.312    227 4409.34   0.15 108.6  12.07   28.7   0.731  8.02   -60.3   224.5     6.3
10/24/19 14:05:20 10.59  0.313    227 4412.90   0.15 108.5  12.07   28.7   0.732  8.02   -60.4   226.9     6.3
10/24/19 14:20:20 10.60  0.313    227 4404.30   0.15 107.8  11.99   27.5   0.727  8.02   -60.4   228.7     6.3
10/24/19 14:35:20 10.65  0.314    228 4393.01   0.15 107.0  11.89   28.7   0.725  8.01   -59.8   230.4     6.3
10/24/19 14:50:20 10.74  0.314    228 4378.55   0.15 106.6  11.81   28.7   0.728  8.00   -59.6   231.2     6.3
10/24/19 15:05:20 10.82  0.314    229 4367.97   0.15 106.4  11.77   27.5   0.726  8.00   -59.7   231.9     6.4
10/24/19 15:20:20 10.74  0.314    229 4374.24   0.15 106.2  11.77   28.7   0.722  8.01   -59.9   232.5     6.3
10/24/19 15:35:20 10.81  0.315    229 4360.42   0.15 106.4  11.78   27.5   0.729  8.01   -59.9   233.2     6.3
10/24/19 15:50:20 10.80  0.315    230 4354.12   0.15 106.3  11.77   28.7   0.731  8.01   -60.2   233.5     6.3
10/24/19 16:05:20 10.73  0.316    230 4351.15   0.15 105.5  11.70   26.4   0.732  8.01   -60.2   233.9     6.3
10/24/19 16:20:20 10.73  0.316    230 4347.98   0.15 105.6  11.71   27.5   0.733  8.01   -60.2   234.2     6.3
10/24/19 16:35:20 10.74  0.316    230 4344.59   0.15 105.2  11.66   27.5   0.734  8.02   -60.3   234.6     6.3
10/24/19 16:50:20 10.78  0.316    230 4345.38   0.15 105.9  11.73   28.7   0.736  8.02   -60.5   235.1     6.3
10/24/19 17:05:20 10.82  0.315    230 4351.52   0.15 105.7  11.69   27.5   0.736  8.02   -60.8   235.4     6.3
10/24/19 17:20:20 10.91  0.316    231 4330.31   0.15 106.3  11.73   27.5   0.744  8.03   -61.0   235.9     6.3
10/24/19 17:35:20 10.88  0.316    231 4334.82   0.15 106.1  11.73   27.5   0.746  8.03   -61.1   236.1     6.3
10/24/19 17:50:20 10.85  0.316    231 4337.19   0.15 106.3  11.75   27.5   0.750  8.03   -61.0   236.4     6.3
10/24/19 18:05:20 10.82  0.315    229 4358.03   0.15 106.6  11.79   27.5   0.754  8.03   -60.9   236.8     6.3
10/24/19 18:20:20 10.74  0.314    229 4369.94   0.15 105.6  11.70   27.5   0.757  8.02   -60.5   236.9     6.3
10/24/19 18:35:20 10.83  0.315    230 4350.36   0.15 110.4  12.22   27.5   0.758  8.06   -62.6   237.1     6.3
10/24/19 18:50:20 10.69  0.315    229 4362.89   0.15 106.3  11.80   27.5   0.761  8.03   -61.1   237.2     6.3
10/24/19 19:05:20 10.90  0.315    230 4338.70   0.15 108.9  12.03   27.5   0.764  8.05   -62.0   237.6     6.3
10/24/19 19:20:20 10.83  0.316    230 4344.74   0.15 108.1  11.96   27.5   0.766  8.05   -62.0   237.5     6.3
10/24/19 19:35:20 10.82  0.316    230 4344.59   0.15 107.1  11.85   27.5   0.769  8.04   -61.6   237.9     6.3
10/24/19 19:50:20 10.83  0.315    230 4347.40   0.15 106.0  11.72   27.5   0.769  8.03   -61.2   238.5     6.3
10/24/19 20:05:20 10.83  0.315    230 4346.97   0.15 106.2  11.74   27.5   0.770  8.03   -61.3   238.6     6.3
10/24/19 20:20:20 10.82  0.315    230 4349.64   0.15 105.2  11.64   27.5   0.773  8.03   -61.2   238.9     6.3
10/24/19 20:35:20 10.80  0.315    230 4353.76   0.15 104.8  11.60   26.4   0.772  8.02   -60.8   239.2     6.3
10/24/19 20:50:20 10.80  0.315    230 4355.49   0.15 105.0  11.62   27.5   0.772  8.02   -60.6   239.3     6.3
10/24/19 21:05:20 10.79  0.315    229 4358.46   0.15 104.2  11.53   26.4   0.774  8.02   -60.4   239.4     6.3
10/24/19 21:20:20 10.78  0.315    229 4360.13   0.15 104.4  11.56   26.4   0.778  8.01   -60.2   239.6     6.3
10/24/19 21:35:20 10.77  0.315    229 4361.80   0.15 103.8  11.50   27.5   0.779  8.02   -60.3   239.6     6.3
10/24/19 21:50:20 10.77  0.315    229 4363.32   0.15 104.0  11.52   26.4   0.781  8.01   -60.1   239.9     6.3
10/24/19 22:05:20 10.74  0.315    229 4364.19   0.15 103.8  11.50   26.4   0.782  8.02   -60.5   239.9     6.3
10/24/19 22:20:20 10.75  0.315    229 4358.46   0.15 105.1  11.65   26.4   0.783  8.03   -61.0   240.1     6.3
10/24/19 22:35:20 10.74  0.315    229 4360.71   0.15 103.8  11.51   26.4   0.784  8.03   -60.9   240.1     6.3
10/24/19 22:50:20 10.74  0.315    229 4364.85   0.15 103.9  11.52   26.4   0.785  8.02   -60.4   240.2     6.3
10/24/19 23:05:20 10.73  0.315    229 4367.10   0.15 103.5  11.47   26.4   0.785  8.01   -59.8   240.7     6.3
10/24/19 23:20:20 10.73  0.315    229 4365.94   0.15 104.1  11.54   26.4   0.787  8.03   -60.9   240.8     6.3
10/24/19 23:35:20 10.74  0.315    229 4363.68   0.15 104.3  11.56   26.4   0.789  8.03   -60.9   240.9     6.3
10/24/19 23:50:20 10.80  0.315    229 4362.09   0.15 103.4  11.44   26.4   0.789  8.02   -60.6   241.1     6.3
10/25/19 00:05:20 10.80  0.315    229 4361.94   0.15 103.5  11.45   27.5   0.789  8.02   -60.6   241.5     6.3
10/25/19 00:20:20 10.76  0.315    229 4364.63   0.15 103.2  11.44   26.4   0.791  8.02   -60.8   241.7     6.3
10/25/19 00:35:20 10.75  0.315    229 4366.01   0.15 103.5  11.46   26.4   0.792  8.02   -60.8   241.8     6.3
10/25/19 00:50:20 10.72  0.315    229 4368.05   0.15 103.0  11.42   26.4   0.790  8.02   -60.8   241.9     6.3
10/25/19 01:05:20 10.73  0.315    229 4365.57   0.15 102.7  11.39   26.4   0.790  8.02   -60.7   241.9     6.3
10/25/19 01:20:20 10.72  0.315    229 4366.81   0.15 103.0  11.42   26.4   0.790  8.02   -60.6   241.9     6.3
10/25/19 01:35:20 10.70  0.316    229 4357.88   0.15 102.7  11.39   26.4   0.789  8.02   -60.4   242.2     6.3
10/25/19 01:50:20 10.68  0.315    229 4363.32   0.15 101.8  11.30   26.4   0.790  8.01   -60.2   242.2     6.3
10/25/19 02:05:20 10.65  0.317    230 4350.87   0.15 101.7  11.30   26.4   0.788  8.02   -60.4   242.4     6.3
10/25/19 02:20:20 10.66  0.317    230 4342.07   0.15 101.3  11.25   26.4   0.791  8.02   -60.7   242.4     6.3
10/25/19 02:35:20 10.65  0.317    230 4343.80   0.15 101.5  11.27   26.4   0.790  8.02   -60.5   242.6     6.3
10/25/19 02:50:20 10.63  0.317    230 4347.11   0.15 101.3  11.25   26.4   0.790  8.02   -60.4   242.7     6.3
10/25/19 03:05:20 10.62  0.318    230 4340.85   0.15 101.5  11.28   25.2   0.789  8.03   -60.9   243.0     6.3
10/25/19 03:20:20 10.61  0.318    231 4331.88   0.15 101.4  11.27   26.4   0.789  8.04   -61.6   243.0     6.3
10/25/19 03:35:20 10.59  0.319    231 4326.45   0.15 101.5  11.29   26.4   0.789  8.04   -61.7   243.2     6.3
10/25/19 03:50:20 10.57  0.320    232 4309.45   0.15 102.0  11.35   26.4   0.788  8.07   -63.4   243.0     6.3
10/25/19 04:05:20 10.57  0.320    232 4314.27   0.15 101.6  11.31   26.4   0.788  8.06   -62.5   243.3     6.3
10/25/19 04:20:20 10.56  0.321    232 4304.15   0.15 102.1  11.37   25.2   0.788  8.08   -64.0   243.2     6.3
10/25/19 04:35:20 10.55  0.321    233 4299.27   0.15 102.2  11.37   26.4   0.789  8.08   -63.7   243.4     6.3
10/25/19 04:50:20 10.54  0.321    232 4303.79   0.15 101.2  11.26   25.2   0.791  8.07   -63.4   243.5     6.3
10/25/19 05:05:20 10.54  0.321    232 4302.24   0.15 101.1  11.26   26.4   0.790  8.07   -63.2   243.7     6.3
10/25/19 05:20:20 10.53  0.321    232 4306.55   0.15  99.9  11.13   26.4   0.791  8.05   -62.1   243.8     6.3
10/25/19 05:35:20 10.52  0.321    232 4303.23   0.15 100.4  11.19   25.2   0.791  8.05   -62.3   243.8     6.3
10/25/19 05:50:20 10.51  0.321    232 4305.91   0.15  99.4  11.08   26.4   0.792  8.05   -62.0   244.0     6.3
10/25/19 06:05:20 10.50  0.321    232 4310.52   0.15  99.4  11.07   26.4   0.790  8.04   -61.4   244.0     6.3
10/25/19 06:20:20 10.50  0.321    232 4310.02   0.15  98.8  11.01   25.2   0.788  8.03   -61.0   244.2     6.3
10/25/19 06:35:20 10.47  0.321    232 4306.90   0.15  98.7  11.01   26.4   0.788  8.03   -61.3   244.2     6.3
10/25/19 06:50:20 10.48  0.317    229 4369.28   0.15  98.5  10.98   25.2   0.789  8.00   -59.4   244.6     6.3
10/25/19 07:05:20 10.48  0.317    229 4368.70   0.15  98.2  10.95   25.2   0.789  8.00   -59.3   245.0     6.3
10/25/19 07:20:20 10.48  0.317    229 4369.79   0.15  98.7  11.01   26.4   0.789  8.00   -59.4   244.9     6.3
10/25/19 07:35:20 10.47  0.317    229 4360.42   0.15  98.2  10.95   26.4   0.788  8.00   -59.5   244.8     6.3
10/25/19 07:50:20 10.48  0.316    229 4373.44   0.15  99.0  11.04   25.2   0.787  8.00   -59.4   244.9     6.3
10/25/19 08:05:20 10.47  0.316    229 4373.22   0.15  98.6  11.00   26.4   0.790  8.00   -59.6   245.4     6.3
10/25/19 08:20:20 10.52  0.317    230 4354.98   0.15  99.1  11.04   25.2   0.791  8.02   -60.3   245.5     6.3
10/25/19 08:35:20 10.53  0.317    230 4353.47   0.15  99.5  11.08   25.2   0.790  8.02   -60.5   245.8     6.3
10/25/19 08:50:20 10.52  0.317    230 4356.29   0.15  99.0  11.03   26.4   0.794  8.02   -60.7   245.9     6.3
10/25/19 09:05:20 10.52  0.317    229 4357.81   0.15  99.3  11.06   26.4   0.793  8.02   -60.5   246.0     6.3
10/25/19 09:20:20 10.53  0.317    230 4356.58   0.15  99.2  11.05   25.2   0.793  8.02   -60.4   246.1     6.3
10/25/19 09:35:20 10.53  0.317    230 4354.48   0.15  99.0  11.03   25.2   0.792  8.02   -60.5   246.1     6.3
