========	=========	======	=======	=======	========	=======	======	======	=======	=======	=========	=======	=======	========	=======	========
Date	Time	Temp	SpCond	Cond	Resist	TDS	Sal	DOsat	DO	DOchrg	Press	Depth	pH	pH	Orp	Battery
m/d/y	hh:mm:ss	C	mS/cm	uS/cm	Ohm*cm	g/L	ppt	%	mg/L		psia	feet		mV	mV	volts
--------	---------	------	-------	-------	--------	-------	------	------	-------	-------	---------	-------	-------	--------	-------	--------
11/7/2019	13:45:40	7.43	0.275	183	5475.71	0.179	0.13	105.2	12.63	37.5	15.507	2.328	8.13	-60.1	207.7	6.1
11/7/2019	14:00:40	7.43	0.274	182	5490.73	0.178	0.13	106.4	12.77	38.7	15.499	2.308	8.06	-56.4	217.3	6
11/7/2019	14:15:40	7.42	0.273	182	5508.5	0.178	0.13	107.1	12.85	37.5	15.503	2.319	8.04	-55.3	222.8	6.1
11/7/2019	14:30:40	7.43	0.273	181	5514.18	0.177	0.13	107.1	12.86	38.7	15.511	2.338	8.03	-55	226.3	6
11/7/2019	14:45:40	7.43	0.273	181	5509.89	0.178	0.13	107.5	12.9	37.5	15.51	2.336	8.03	-55.1	228.8	6.1
11/7/2019	15:00:40	7.42	0.273	181	5513.83	0.177	0.13	107.6	12.91	38.7	15.512	2.339	8.04	-55.2	230.5	6.1
11/7/2019	15:15:40	7.42	0.273	182	5507.46	0.178	0.13	107.4	12.89	37.5	15.513	2.343	8.04	-55.3	231.8	6.1
11/7/2019	15:30:40	7.41	0.274	182	5505.03	0.178	0.13	107.3	12.89	38.7	15.518	2.353	8.04	-55.5	232.8	6.1
11/7/2019	15:45:40	7.42	0.274	182	5494.41	0.178	0.13	107.5	12.91	38.7	15.518	2.354	8.04	-55.6	233.4	6.1
11/7/2019	16:00:40	7.41	0.274	182	5492.69	0.178	0.13	107.6	12.92	38.7	15.52	2.358	8.04	-55.7	234.1	6.1
11/7/2019	16:15:40	7.41	0.275	182	5486.71	0.178	0.13	107.4	12.89	37.5	15.503	2.318	8.05	-55.8	234.6	6
11/7/2019	16:30:40	7.41	0.275	183	5471.93	0.179	0.13	107.4	12.9	37.5	15.507	2.329	8.05	-55.8	235	6.1
11/7/2019	16:45:40	7.38	0.275	183	5477.08	0.179	0.13	107.4	12.9	37.5	15.507	2.329	8.05	-55.8	235.5	6
11/7/2019	17:00:40	7.38	0.275	182	5480.06	0.179	0.13	107.3	12.89	38.7	15.509	2.332	8.05	-55.8	235.8	6.1
11/7/2019	17:15:40	7.37	0.275	182	5489.47	0.179	0.13	107.3	12.89	37.5	15.509	2.332	8.05	-56	236	6
11/7/2019	17:30:40	7.36	0.275	183	5477.77	0.179	0.13	107.2	12.89	38.7	15.511	2.339	8.05	-56.1	236.2	6
